borrower_id,borrower_name,region,sector,years_in_operation,operation_size_acres,herd_size_head,relationship_start_date,primary_loan_officer
BOR-1077,Martens Red River Farms Ltd.,Manitoba,Grain & Oilseed,22,2643.0,,2018-07-01,T. Braun
BOR-1078,Friesen Twin Creek Grain Co.,Saskatchewan,Grain & Oilseed,39,3613.0,,2015-07-01,M. Reimer
BOR-1079,Anholt Golden Field Dairy Farm Ltd.,Saskatchewan,Dairy,18,,228.0,2022-07-01,J. Halvorsen
BOR-1080,Kowalski Rimrock Family Farm,Saskatchewan,Mixed Farming,9,1055.0,323.0,2021-07-01,D. Sorensen
BOR-1081,Enns Harvest Moon Farms Ltd.,Alberta,Grain & Oilseed,18,2125.0,,2023-07-01,R. Yaremko
BOR-1082,Friesen Long Grass Farms Ltd.,Alberta,Mixed Farming,20,1189.0,173.0,2019-07-01,P. Anholt
BOR-1083,Giesbrecht Bluestem Farms Ltd.,Alberta,Grain & Oilseed,14,2093.0,,2013-07-01,C. Friesen
BOR-1084,Whitfield Coulee Family Farm,Alberta,Mixed Farming,32,2188.0,109.0,2018-07-01,K. Lund
BOR-1085,Peters Rolling Hills Farms Ltd.,Saskatchewan,Grain & Oilseed,15,4340.0,,2011-07-01,S. Kowalski
BOR-1086,Novikov Red River Livestock Co.,Saskatchewan,Livestock,29,,174.0,2019-07-01,S. Kowalski
BOR-1087,Iverson Silver Birch Farms Ltd.,Saskatchewan,Grain & Oilseed,10,1824.0,,2021-07-01,P. Anholt
BOR-1088,Halvorsen Sunrise Livestock Co.,Saskatchewan,Livestock,21,,362.0,2022-07-01,K. Lund
BOR-1089,Lund Silver Birch Farms Ltd.,Saskatchewan,Grain & Oilseed,18,801.0,,2024-07-01,D. Sorensen
BOR-1090,Larsen Red River Grain Co.,Saskatchewan,Grain & Oilseed,6,1206.0,,2025-07-01,J. Halvorsen
BOR-1091,O'Neil Big Sky Cattle Co.,Manitoba,Livestock,23,,255.0,2013-07-01,T. Braun
BOR-1092,Petrov Rimrock Farms Ltd.,Manitoba,Grain & Oilseed,19,1051.0,,2024-07-01,J. Halvorsen
BOR-1093,Radke Red River AgriBusiness Ltd.,Alberta,Mixed Farming,10,405.0,133.0,2018-07-01,A. Dubois
BOR-1094,Yaremko Big Sky Livestock Co.,Alberta,Livestock,16,,240.0,2017-07-01,J. Halvorsen
BOR-1095,Lund Long Grass Ranch Ltd.,Saskatchewan,Livestock,17,,272.0,2020-07-01,M. Reimer
BOR-1096,Kristoff Big Sky Grain Co.,Alberta,Grain & Oilseed,23,769.0,,2023-07-01,D. Sorensen
BOR-1097,Kessler Cypress Hills AgriBusiness Ltd.,Alberta,Mixed Farming,38,1619.0,90.0,2018-07-01,T. Braun
BOR-1098,Radke Twin Creek Farms Ltd.,Alberta,Grain & Oilseed,20,874.0,,2016-07-01,P. Anholt
BOR-1099,Yaremko Elk Valley Cattle Co.,Alberta,Livestock,7,,299.0,2025-07-01,K. Lund
BOR-1100,Schmidt Long Grass Family Farm,Manitoba,Mixed Farming,14,3825.0,489.0,2018-07-01,C. Friesen
BOR-1101,Novikov Bluestem Family Farm,Alberta,Mixed Farming,17,2497.0,293.0,2015-07-01,T. Braun
BOR-1102,Fischer Twin Creek Farms Ltd.,Alberta,Grain & Oilseed,6,1789.0,,2020-07-01,K. Lund
BOR-1103,Loewen Stonebridge Dairy Ltd.,Saskatchewan,Dairy,24,,190.0,2022-07-01,P. Anholt
BOR-1104,O'Neil Big Sky Family Farm,Saskatchewan,Mixed Farming,13,1731.0,167.0,2018-07-01,T. Braun
BOR-1105,Friesen Sunrise Livestock Co.,Saskatchewan,Livestock,11,,169.0,2019-07-01,S. Kowalski
BOR-1106,Enns Meadowbrook AgriBusiness Ltd.,Alberta,Mixed Farming,53,1897.0,257.0,2015-07-01,A. Dubois
BOR-1107,Schmidt Harvest Moon Family Farm,Saskatchewan,Mixed Farming,17,2262.0,228.0,2023-07-01,K. Lund
BOR-1108,Dubois Stonebridge Grain Farms Ltd.,Manitoba,Grain & Oilseed,34,3746.0,,2012-07-01,D. Sorensen
BOR-1109,Lund Rimrock Grain Farms Ltd.,Manitoba,Grain & Oilseed,7,2523.0,,2021-07-01,R. Yaremko
BOR-1110,Novikov Prairie Dairy Ltd.,Alberta,Dairy,32,,413.0,2015-07-01,P. Anholt
BOR-1111,Voss Cypress Hills Farms Ltd.,Saskatchewan,Grain & Oilseed,25,1019.0,,2020-07-01,S. Kowalski
BOR-1112,Braun Wheatland Cattle Co.,Manitoba,Livestock,19,,190.0,2012-07-01,J. Halvorsen
BOR-1113,Kowalski Rolling Hills Farms Ltd.,Saskatchewan,Grain & Oilseed,16,4375.0,,2014-07-01,J. Halvorsen
BOR-1114,Reimer Sunrise Cattle Co.,Manitoba,Livestock,34,,249.0,2017-07-01,P. Anholt
BOR-1115,Braun Coulee Livestock Co.,Alberta,Livestock,13,,356.0,2023-07-01,S. Kowalski
BOR-1116,Fischer Qu'Appelle Valley Farms Ltd.,Manitoba,Grain & Oilseed,21,1853.0,,2023-07-01,T. Braun
BOR-1117,Marchand Wheatland Grain Co.,Manitoba,Grain & Oilseed,16,883.0,,2016-07-01,S. Kowalski
BOR-1118,Enns Stonebridge Grain Co.,Saskatchewan,Grain & Oilseed,5,1644.0,,2024-07-01,T. Braun
BOR-1119,Reimer Big Sky Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,27,2495.0,,2021-07-01,J. Halvorsen
BOR-1120,Larsen Harvest Moon Farms Ltd.,Alberta,Grain & Oilseed,37,2657.0,,2013-07-01,D. Sorensen
BOR-1121,Bergen Wheatland Dairy Ltd.,Saskatchewan,Dairy,8,,307.0,2025-07-01,K. Lund
BOR-1122,Peters Big Sky Grain Co.,Saskatchewan,Grain & Oilseed,21,1543.0,,2019-07-01,A. Dubois
BOR-1123,Yaremko Elk Valley Grain Co.,Saskatchewan,Grain & Oilseed,34,3495.0,,2024-07-01,M. Reimer
BOR-1124,Martens Sunrise Farms Ltd.,Saskatchewan,Grain & Oilseed,24,793.0,,2012-07-01,M. Reimer
BOR-1125,Yaremko Northern Livestock Co.,Saskatchewan,Livestock,24,,480.0,2021-07-01,R. Yaremko
BOR-1126,Voss Coulee Dairy Ltd.,Saskatchewan,Dairy,5,,412.0,2022-07-01,S. Kowalski
BOR-1127,Voss Bluestem Cattle Co.,Alberta,Livestock,17,,175.0,2020-07-01,D. Sorensen
BOR-1128,Iverson Big Sky Farms Ltd.,Alberta,Mixed Farming,11,2442.0,522.0,2024-07-01,R. Yaremko
BOR-1129,Marchand Prairie Farms Ltd.,Alberta,Grain & Oilseed,22,3334.0,,2015-07-01,A. Dubois
BOR-1130,Lund Stonebridge Farms Ltd.,Saskatchewan,Mixed Farming,18,1919.0,186.0,2013-07-01,R. Yaremko
BOR-1131,Janzen Harvest Moon AgriBusiness Ltd.,Manitoba,Mixed Farming,10,328.0,368.0,2024-07-01,K. Lund
BOR-1132,Martens Northern Grain Co.,Saskatchewan,Grain & Oilseed,9,2198.0,,2024-07-01,C. Friesen
BOR-1133,Baumann Sunrise Livestock Co.,Saskatchewan,Livestock,11,,236.0,2018-07-01,M. Reimer
BOR-1134,Bergen Rolling Hills Grain Farms Ltd.,Alberta,Grain & Oilseed,26,2840.0,,2023-07-01,J. Halvorsen
BOR-1135,Anholt Cypress Hills Farms Ltd.,Manitoba,Grain & Oilseed,16,2228.0,,2012-07-01,A. Dubois
BOR-1136,Kristoff Wheatland Farms Ltd.,Manitoba,Grain & Oilseed,28,2401.0,,2020-07-01,J. Halvorsen
BOR-1137,Friesen Big Sky Grain Farms Ltd.,Manitoba,Grain & Oilseed,14,1362.0,,2013-07-01,M. Reimer
BOR-1138,Neufeld Wheatland Farms Ltd.,Saskatchewan,Grain & Oilseed,34,571.0,,2024-07-01,P. Anholt
BOR-1139,Loewen Whitecap Grain Farms Ltd.,Manitoba,Grain & Oilseed,20,3815.0,,2017-07-01,P. Anholt
BOR-1140,Lund Wheatland Grain Co.,Saskatchewan,Grain & Oilseed,33,931.0,,2017-07-01,P. Anholt
BOR-1141,Peters Wheatland Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,24,2418.0,,2011-07-01,J. Halvorsen
BOR-1142,Petrov Twin Creek Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,25,1724.0,,2022-07-01,R. Yaremko
BOR-1143,Marchand Stonebridge Farms Ltd.,Alberta,Mixed Farming,11,3019.0,244.0,2022-07-01,M. Reimer
BOR-1144,Kristoff Twin Creek Dairy Ltd.,Saskatchewan,Dairy,27,,367.0,2014-07-01,P. Anholt
BOR-1145,Kristoff Big Sky Ranch Ltd.,Saskatchewan,Livestock,14,,99.0,2018-07-01,D. Sorensen
BOR-1146,Thorsen Qu'Appelle Valley Grain Co.,Alberta,Grain & Oilseed,21,1427.0,,2025-07-01,T. Braun
BOR-1147,Toews Whitecap Dairy Ltd.,Manitoba,Dairy,17,,253.0,2019-07-01,T. Braun
BOR-1148,Sorensen Elk Valley Grain Co.,Manitoba,Grain & Oilseed,29,653.0,,2025-07-01,P. Anholt
BOR-1149,Voss Elk Valley Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,16,1350.0,,2014-07-01,S. Kowalski
BOR-1150,Schmidt Twin Creek AgriBusiness Ltd.,Manitoba,Mixed Farming,11,2105.0,160.0,2017-07-01,T. Braun
BOR-1151,Thorsen Sunrise Grain Farms Ltd.,Alberta,Grain & Oilseed,9,757.0,,2018-07-01,A. Dubois
BOR-1152,Petrov Bluestem Livestock Co.,Saskatchewan,Livestock,4,,259.0,2025-07-01,S. Kowalski
BOR-1153,Loewen Meadowbrook Grain Co.,Saskatchewan,Grain & Oilseed,12,1419.0,,2016-07-01,K. Lund
BOR-1154,Martens Big Sky AgriBusiness Ltd.,Manitoba,Mixed Farming,30,311.0,331.0,2015-07-01,J. Halvorsen
BOR-1155,Friesen Wheatland Grain Farms Ltd.,Manitoba,Grain & Oilseed,37,2786.0,,2014-07-01,P. Anholt
BOR-1156,O'Neil Long Grass Grain Co.,Manitoba,Grain & Oilseed,24,1072.0,,2022-07-01,M. Reimer
BOR-1157,Sorensen Wheatland Dairy Ltd.,Manitoba,Dairy,27,,186.0,2023-07-01,A. Dubois
BOR-1158,Klassen Bluestem Farms Ltd.,Saskatchewan,Grain & Oilseed,19,1760.0,,2011-07-01,T. Braun
BOR-1159,Enns Wheatland AgriBusiness Ltd.,Saskatchewan,Mixed Farming,30,2126.0,218.0,2025-07-01,P. Anholt
BOR-1160,Kowalski Meadowbrook Grain Farms Ltd.,Alberta,Grain & Oilseed,10,626.0,,2021-07-01,T. Braun
BOR-1161,Sorensen Coulee Grain Farms Ltd.,Manitoba,Grain & Oilseed,37,1675.0,,2012-07-01,T. Braun
BOR-1162,Yaremko Meadowbrook Ranch Ltd.,Saskatchewan,Livestock,20,,284.0,2017-07-01,C. Friesen
BOR-1163,Baumann Coulee AgriBusiness Ltd.,Saskatchewan,Mixed Farming,6,1045.0,246.0,2024-07-01,M. Reimer
BOR-1164,Larsen Golden Field Farms Ltd.,Manitoba,Mixed Farming,22,992.0,237.0,2017-07-01,S. Kowalski
BOR-1165,Halvorsen Rimrock Grain Farms Ltd.,Alberta,Grain & Oilseed,7,226.0,,2022-07-01,D. Sorensen
BOR-1166,Petrov Harvest Moon Livestock Co.,Alberta,Livestock,12,,327.0,2016-07-01,A. Dubois
BOR-1167,Yaremko Long Grass Farms Ltd.,Saskatchewan,Mixed Farming,19,808.0,151.0,2015-07-01,K. Lund
BOR-1168,Giesbrecht Elk Valley Farms Ltd.,Manitoba,Grain & Oilseed,19,522.0,,2022-07-01,P. Anholt
BOR-1169,Yaremko Wheatland Farms Ltd.,Manitoba,Grain & Oilseed,13,1139.0,,2016-07-01,C. Friesen
BOR-1170,Peters Rimrock Farms Ltd.,Saskatchewan,Mixed Farming,7,1929.0,305.0,2024-07-01,P. Anholt
BOR-1171,Kessler Long Grass Grain Co.,Saskatchewan,Grain & Oilseed,19,1997.0,,2015-07-01,M. Reimer
BOR-1172,Radke Harvest Moon AgriBusiness Ltd.,Saskatchewan,Mixed Farming,4,865.0,164.0,2025-07-01,M. Reimer
BOR-1173,Fischer Northern Grain Co.,Saskatchewan,Grain & Oilseed,43,1839.0,,2024-07-01,P. Anholt
BOR-1174,Anholt Silver Birch Family Farm,Alberta,Mixed Farming,16,2896.0,213.0,2019-07-01,T. Braun
BOR-1175,Janzen Harvest Moon Farms Ltd.,Saskatchewan,Grain & Oilseed,25,1190.0,,2021-07-01,A. Dubois
BOR-1176,Braun Northern Farms Ltd.,Alberta,Mixed Farming,13,4255.0,118.0,2021-07-01,R. Yaremko
BOR-1177,Marchand Golden Field Dairy Ltd.,Alberta,Dairy,16,,386.0,2019-07-01,C. Friesen
BOR-1178,Toews Big Sky Livestock Co.,Alberta,Livestock,31,,272.0,2012-07-01,T. Braun
BOR-1179,Sorensen Sunrise Livestock Co.,Saskatchewan,Livestock,25,,442.0,2012-07-01,R. Yaremko
BOR-1180,Fischer Cypress Hills Grain Co.,Saskatchewan,Grain & Oilseed,15,1408.0,,2015-07-01,J. Halvorsen
BOR-1181,Fischer Bluestem Livestock Co.,Saskatchewan,Livestock,14,,53.0,2017-07-01,D. Sorensen
BOR-1182,Baumann Whitecap Farms Ltd.,Manitoba,Mixed Farming,21,1287.0,404.0,2015-07-01,A. Dubois
BOR-1183,Braun Wheatland Family Farm,Manitoba,Mixed Farming,11,2816.0,132.0,2020-07-01,R. Yaremko
BOR-1184,Janzen Golden Field Livestock Co.,Saskatchewan,Livestock,19,,529.0,2019-07-01,T. Braun
BOR-1185,Kristoff Harvest Moon Farms Ltd.,Saskatchewan,Grain & Oilseed,4,796.0,,2024-07-01,D. Sorensen
BOR-1186,Braun Qu'Appelle Valley Grain Farms Ltd.,Alberta,Grain & Oilseed,23,3094.0,,2013-07-01,J. Halvorsen
BOR-1187,Iverson Golden Field Grain Co.,Saskatchewan,Grain & Oilseed,21,1520.0,,2013-07-01,S. Kowalski
BOR-1188,Fischer Elk Valley Dairy Ltd.,Saskatchewan,Dairy,5,,616.0,2021-07-01,P. Anholt
BOR-1189,Larsen Bluestem Dairy Farm Ltd.,Saskatchewan,Dairy,5,,270.0,2024-07-01,K. Lund
BOR-1190,Marchand Elk Valley Cattle Co.,Saskatchewan,Livestock,15,,76.0,2022-07-01,J. Halvorsen
BOR-1191,Fischer Elk Valley Farms Ltd.,Manitoba,Grain & Oilseed,17,1767.0,,2018-07-01,D. Sorensen
BOR-1192,Fischer Red River AgriBusiness Ltd.,Manitoba,Mixed Farming,2,160.0,424.0,2025-07-01,K. Lund
BOR-1193,Toews Big Sky Family Farm,Alberta,Mixed Farming,17,862.0,364.0,2012-07-01,D. Sorensen
BOR-1194,Kowalski Wheatland AgriBusiness Ltd.,Manitoba,Mixed Farming,18,1109.0,97.0,2013-07-01,J. Halvorsen
BOR-1195,Klassen Cypress Hills Farms Ltd.,Saskatchewan,Grain & Oilseed,10,1793.0,,2021-07-01,T. Braun
BOR-1196,Braun Harvest Moon Ranch Ltd.,Manitoba,Livestock,9,,163.0,2021-07-01,K. Lund
BOR-1197,Lund Northern Dairy Farm Ltd.,Saskatchewan,Dairy,20,,377.0,2022-07-01,T. Braun
BOR-1198,Braun Coulee Ranch Ltd.,Saskatchewan,Livestock,5,,553.0,2022-07-01,S. Kowalski
BOR-1199,Iverson Wheatland Livestock Co.,Saskatchewan,Livestock,15,,139.0,2014-07-01,S. Kowalski
BOR-1200,Martens Elk Valley Grain Farms Ltd.,Manitoba,Grain & Oilseed,22,1637.0,,2014-07-01,D. Sorensen
BOR-1201,Martens Big Sky Ranch Ltd.,Saskatchewan,Livestock,7,,110.0,2024-07-01,J. Halvorsen
BOR-1202,Schmidt Sunrise Farms Ltd.,Alberta,Mixed Farming,19,1122.0,317.0,2024-07-01,D. Sorensen
BOR-1203,Neufeld Twin Creek Family Farm,Alberta,Mixed Farming,24,1273.0,174.0,2013-07-01,S. Kowalski
BOR-1204,Friesen Cypress Hills Grain Co.,Saskatchewan,Grain & Oilseed,10,2908.0,,2024-07-01,S. Kowalski
BOR-1205,Friesen Golden Field Family Farm,Saskatchewan,Mixed Farming,23,2681.0,453.0,2019-07-01,S. Kowalski
BOR-1206,Petrov Elk Valley Farms Ltd.,Manitoba,Mixed Farming,9,4279.0,300.0,2019-07-01,P. Anholt
BOR-1207,O'Neil Prairie AgriBusiness Ltd.,Saskatchewan,Mixed Farming,5,1793.0,234.0,2025-07-01,D. Sorensen
BOR-1208,Kessler Wheatland Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,19,1634.0,,2020-07-01,D. Sorensen
BOR-1209,Toews Harvest Moon Family Farm,Alberta,Mixed Farming,27,2706.0,140.0,2012-07-01,D. Sorensen
BOR-1210,Martens Northern Dairy Farm Ltd.,Saskatchewan,Dairy,15,,116.0,2013-07-01,K. Lund
BOR-1211,Sorensen Rolling Hills Grain Co.,Saskatchewan,Grain & Oilseed,23,1800.0,,2022-07-01,C. Friesen
BOR-1212,Giesbrecht Golden Field Livestock Co.,Saskatchewan,Livestock,18,,732.0,2025-07-01,M. Reimer
BOR-1213,Sorensen Long Grass Grain Farms Ltd.,Manitoba,Grain & Oilseed,21,1386.0,,2014-07-01,R. Yaremko
BOR-1214,Novak Twin Creek Farms Ltd.,Alberta,Grain & Oilseed,58,1095.0,,2020-07-01,P. Anholt
BOR-1215,Schmidt Meadowbrook Ranch Ltd.,Saskatchewan,Livestock,11,,274.0,2018-07-01,A. Dubois
BOR-1216,Braun Sunrise Grain Farms Ltd.,Alberta,Grain & Oilseed,24,2458.0,,2022-07-01,T. Braun
BOR-1217,Kessler Silver Birch Farms Ltd.,Manitoba,Mixed Farming,9,736.0,247.0,2022-07-01,K. Lund
BOR-1218,Halvorsen Red River Grain Co.,Alberta,Grain & Oilseed,5,1751.0,,2021-07-01,P. Anholt
BOR-1219,Yaremko Silver Birch Cattle Co.,Saskatchewan,Livestock,10,,266.0,2025-07-01,K. Lund
