loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,interest_rate,amortization_years,collateral_type,collateral_value,loan_status
LN-20020,BOR-1015,Operating Line of Credit,2020-05-01,2027-05-01,253900.0,0.0768,1,General Security Agreement,370200.0,Active
LN-20021,BOR-1015,Term Loan,2022-05-01,2027-05-01,600000.0,0.082,5,Farmland,1070700.0,Active
LN-20022,BOR-1016,Operating Line of Credit,2022-09-01,2026-09-01,118600.0,0.0732,1,General Security Agreement,146100.0,Active
LN-20023,BOR-1017,Farm Mortgage,2019-10-01,2039-10-01,320400.0,0.0635,20,Farmland,488800.0,Active
LN-20024,BOR-1018,Term Loan,2026-05-01,2033-05-01,1109800.0,0.0694,7,Farmland,1757200.0,Active
LN-20025,BOR-1019,Equipment Loan,2023-05-01,2030-05-01,539000.0,0.0733,7,Equipment,734200.0,Active
LN-20026,BOR-1019,Farm Mortgage,2024-04-01,2049-04-01,1630500.0,0.0603,25,Farmland,2921100.0,Active
LN-20027,BOR-1020,Term Loan,2020-04-01,2027-04-01,538700.0,0.0819,7,Farmland,914800.0,Active
LN-20028,BOR-1021,Term Loan,2025-06-01,2035-06-01,772800.0,0.0702,10,Farmland,1189000.0,Active
LN-20029,BOR-1021,Farm Mortgage,2026-04-01,2046-04-01,1226800.0,0.0658,20,Farmland,2333500.0,Active
LN-20030,BOR-1022,Operating Line of Credit,2024-11-01,2026-11-01,422700.0,0.087,1,General Security Agreement,666500.0,Active
LN-20031,BOR-1023,Equipment Loan,2025-09-01,2030-09-01,775100.0,0.0741,5,Equipment,956800.0,Active
LN-20032,BOR-1024,Equipment Loan,2025-04-01,2030-04-01,261000.0,0.0739,5,Equipment,279900.0,Active
LN-20033,BOR-1025,Operating Line of Credit,2025-10-01,2026-10-01,238800.0,0.0735,1,General Security Agreement,266200.0,Active
LN-20034,BOR-1026,Operating Line of Credit,2025-09-01,2026-09-01,308300.0,0.0731,1,General Security Agreement,396100.0,Active
LN-20035,BOR-1027,Equipment Loan,2026-04-01,2031-04-01,282200.0,0.0708,5,Equipment,343100.0,Active
LN-20036,BOR-1028,Term Loan,2023-11-01,2033-11-01,349400.0,0.067,10,General Security Agreement,530400.0,Active
LN-20037,BOR-1029,Term Loan,2025-09-01,2030-09-01,552500.0,0.0768,5,Farmland,1168400.0,Active
LN-20038,BOR-1030,Operating Line of Credit,2023-04-01,2027-04-01,301900.0,0.0761,1,General Security Agreement,469100.0,Active
LN-20039,BOR-1031,Equipment Loan,2025-06-01,2030-06-01,595900.0,0.0783,5,Equipment,672600.0,Active
LN-20040,BOR-1032,Equipment Loan,2022-05-01,2029-05-01,625900.0,0.0654,7,Equipment,842500.0,Active
LN-20041,BOR-1032,Operating Line of Credit,2023-06-01,2027-06-01,193100.0,0.0797,1,General Security Agreement,289500.0,Active
LN-20042,BOR-1033,Term Loan,2024-06-01,2034-06-01,313600.0,0.0754,10,Farmland,633000.0,Active
LN-20043,BOR-1033,Farm Mortgage,2022-09-01,2047-09-01,2744100.0,0.066,25,Farmland,4622900.0,Active
LN-20044,BOR-1034,Operating Line of Credit,2017-04-01,2027-04-01,59200.0,0.0801,1,General Security Agreement,86100.0,Active
LN-20045,BOR-1035,Term Loan,2022-07-01,2032-07-01,146900.0,0.0727,10,Farmland,224700.0,Active
LN-20046,BOR-1035,Operating Line of Credit,2024-09-01,2026-09-01,64100.0,0.0838,1,General Security Agreement,83800.0,Active
LN-20047,BOR-1036,Operating Line of Credit,2024-03-01,2027-03-01,247100.0,0.0795,1,General Security Agreement,343600.0,Active
LN-20048,BOR-1037,Farm Mortgage,2024-02-01,2039-02-01,399000.0,0.0618,15,Farmland,706800.0,Active
LN-20049,BOR-1038,Equipment Loan,2025-09-01,2030-09-01,347300.0,0.0728,5,Equipment,350000.0,Active
LN-20050,BOR-1039,Operating Line of Credit,2024-01-01,2027-01-01,256800.0,0.0892,1,General Security Agreement,410300.0,Active
LN-20051,BOR-1040,Equipment Loan,2022-01-01,2029-01-01,466700.0,0.0722,7,Equipment,588800.0,Active
LN-20052,BOR-1041,Equipment Loan,2025-12-01,2032-12-01,574600.0,0.0697,7,Equipment,760000.0,Active
LN-20053,BOR-1041,Term Loan,2025-08-01,2035-08-01,245800.0,0.0677,10,Farmland,428700.0,Active
LN-20054,BOR-1042,Equipment Loan,2022-11-01,2029-11-01,464300.0,0.0767,7,Equipment,560700.0,Active
LN-20055,BOR-1043,Equipment Loan,2018-07-01,2025-07-01,181300.0,0.062,7,Equipment,239800.0,Paid Off
LN-20056,BOR-1044,Operating Line of Credit,2020-04-01,2027-04-01,385800.0,0.085,1,General Security Agreement,436300.0,Active
LN-20057,BOR-1045,Term Loan,2024-08-01,2029-08-01,1079000.0,0.0721,5,Farmland,1512900.0,Active
LN-20058,BOR-1046,Term Loan,2026-04-01,2031-04-01,1050600.0,0.0664,5,Farmland,1537600.0,Active
LN-20059,BOR-1047,Term Loan,2024-04-01,2034-04-01,313900.0,0.0694,10,General Security Agreement,440000.0,Active
LN-20060,BOR-1048,Operating Line of Credit,2024-04-01,2027-04-01,165100.0,0.0895,1,General Security Agreement,242100.0,Active
LN-20061,BOR-1049,Term Loan,2024-07-01,2029-07-01,1315400.0,0.0757,5,General Security Agreement,1961900.0,Active
LN-20062,BOR-1049,Operating Line of Credit,2023-10-01,2026-10-01,422700.0,0.0795,1,General Security Agreement,616700.0,Active
LN-20063,BOR-1050,Equipment Loan,2024-06-01,2031-06-01,65600.0,0.0639,7,Equipment,74500.0,Active
LN-20064,BOR-1051,Term Loan,2025-10-01,2035-10-01,843100.0,0.0819,10,Farmland,1119200.0,Active
LN-20065,BOR-1052,Farm Mortgage,2025-10-01,2050-10-01,981200.0,0.0694,25,Farmland,1525600.0,Active
LN-20066,BOR-1053,Operating Line of Credit,2022-08-01,2026-08-01,417000.0,0.0859,1,General Security Agreement,666800.0,Active
LN-20067,BOR-1053,Term Loan,2025-03-01,2035-03-01,769900.0,0.0811,10,General Security Agreement,928300.0,Active
LN-20068,BOR-1054,Operating Line of Credit,2024-05-01,2027-05-01,435500.0,0.0758,1,General Security Agreement,480700.0,Active
LN-20069,BOR-1055,Operating Line of Credit,2025-03-01,2027-03-01,108400.0,0.0879,1,General Security Agreement,127700.0,Active
LN-20070,BOR-1056,Term Loan,2017-02-01,2022-02-01,946600.0,0.0667,5,Farmland,1733100.0,Paid Off
LN-20071,BOR-1056,Farm Mortgage,2018-07-01,2033-07-01,2466800.0,0.061,15,Farmland,4515100.0,Active
LN-20072,BOR-1057,Operating Line of Credit,2023-09-01,2026-09-01,262300.0,0.0843,1,General Security Agreement,419300.0,Active
LN-20073,BOR-1058,Term Loan,2019-11-01,2024-11-01,275900.0,0.0761,5,General Security Agreement,390000.0,Paid Off
LN-20074,BOR-1059,Equipment Loan,2019-04-01,2026-04-01,243900.0,0.0764,7,Equipment,304400.0,Paid Off
LN-20075,BOR-1060,Equipment Loan,2023-03-01,2028-03-01,463100.0,0.0724,5,Equipment,500400.0,Active
LN-20076,BOR-1060,Term Loan,2016-09-01,2021-09-01,871400.0,0.0662,5,General Security Agreement,1324600.0,Paid Off
LN-20077,BOR-1060,Farm Mortgage,2025-10-01,2045-10-01,2777000.0,0.0565,20,Farmland,3779100.0,Active
LN-20078,BOR-1061,Equipment Loan,2016-09-01,2023-09-01,102700.0,0.0604,7,Equipment,123700.0,Paid Off
LN-20079,BOR-1062,Term Loan,2026-05-01,2033-05-01,428000.0,0.0796,7,General Security Agreement,658500.0,Active
LN-20080,BOR-1062,Equipment Loan,2026-01-01,2033-01-01,439700.0,0.0766,7,Equipment,451700.0,Active
LN-20081,BOR-1063,Term Loan,2023-01-01,2028-01-01,1068200.0,0.084,5,Farmland,1856000.0,Default/Charged Off
LN-20082,BOR-1063,Equipment Loan,2023-03-01,2030-03-01,606300.0,0.0649,7,Equipment,766200.0,Active
LN-20083,BOR-1064,Equipment Loan,2025-11-01,2032-11-01,491600.0,0.0629,7,Equipment,547400.0,Active
LN-20084,BOR-1064,Term Loan,2025-08-01,2030-08-01,266400.0,0.0752,5,General Security Agreement,315600.0,Active
LN-20085,BOR-1064,Operating Line of Credit,2026-01-01,2027-01-01,375600.0,0.0739,1,General Security Agreement,581500.0,Active
LN-20086,BOR-1065,Operating Line of Credit,2023-05-01,2027-05-01,194000.0,0.0745,1,General Security Agreement,295100.0,Active
LN-20087,BOR-1066,Term Loan,2018-08-01,2025-08-01,914800.0,0.069,7,General Security Agreement,1243600.0,Paid Off
LN-20088,BOR-1066,Equipment Loan,2021-05-01,2028-05-01,540000.0,0.0672,7,Equipment,579000.0,Active
LN-20089,BOR-1067,Term Loan,2016-09-01,2023-09-01,1217200.0,0.0799,7,General Security Agreement,1624000.0,Paid Off
LN-20090,BOR-1067,Equipment Loan,2021-03-01,2026-03-01,496700.0,0.0784,5,Equipment,670500.0,Paid Off
LN-20091,BOR-1068,Term Loan,2024-12-01,2031-12-01,173200.0,0.0798,7,Farmland,265200.0,Active
LN-20092,BOR-1069,Operating Line of Credit,2020-01-01,2027-01-01,51000.0,0.0802,1,General Security Agreement,60700.0,Active
LN-20093,BOR-1069,Term Loan,2020-08-01,2025-08-01,959000.0,0.0696,5,General Security Agreement,1236800.0,Paid Off
LN-20094,BOR-1070,Term Loan,2019-07-01,2029-07-01,431600.0,0.0656,10,General Security Agreement,654200.0,Active
LN-20095,BOR-1071,Operating Line of Credit,2025-08-01,2026-08-01,305300.0,0.0866,1,General Security Agreement,371900.0,Active
LN-20096,BOR-1072,Term Loan,2025-10-01,2030-10-01,157200.0,0.0713,5,General Security Agreement,181500.0,Active
LN-20097,BOR-1073,Term Loan,2024-04-01,2034-04-01,785100.0,0.0761,10,Farmland,1615700.0,Active
LN-20098,BOR-1074,Operating Line of Credit,2025-02-01,2027-02-01,70200.0,0.0865,1,General Security Agreement,91800.0,Active
LN-20099,BOR-1074,Term Loan,2024-10-01,2031-10-01,558000.0,0.0844,7,Farmland,801400.0,Active
LN-20100,BOR-1074,Equipment Loan,2026-05-01,2033-05-01,174100.0,0.0732,7,Equipment,190500.0,Active
LN-20101,BOR-1075,Term Loan,2025-05-01,2030-05-01,156700.0,0.0749,5,Farmland,237300.0,Active
LN-20102,BOR-1075,Operating Line of Credit,2025-01-01,2027-01-01,422800.0,0.0894,1,General Security Agreement,562200.0,Active
LN-20103,BOR-1076,Equipment Loan,2025-10-01,2030-10-01,698300.0,0.0656,5,Equipment,729600.0,Active
LN-20104,BOR-1076,Term Loan,2025-01-01,2035-01-01,503700.0,0.0757,10,General Security Agreement,804900.0,Active
LN-20105,BOR-1077,Term Loan,2018-09-01,2028-09-01,600600.0,0.0746,10,Farmland,1243600.0,Active
LN-20106,BOR-1078,Term Loan,2017-10-01,2022-10-01,965300.0,0.0742,5,Farmland,1612500.0,Paid Off
LN-20107,BOR-1078,Operating Line of Credit,2020-06-01,2027-06-01,134500.0,0.0851,1,General Security Agreement,169600.0,Active
LN-20108,BOR-1079,Operating Line of Credit,2024-10-01,2026-10-01,444800.0,0.0724,1,General Security Agreement,556100.0,Active
LN-20109,BOR-1080,Term Loan,2025-02-01,2030-02-01,1168500.0,0.0699,5,Farmland,1954200.0,Active
LN-20110,BOR-1081,Equipment Loan,2024-03-01,2031-03-01,593100.0,0.0736,7,Equipment,723800.0,Active
LN-20111,BOR-1081,Operating Line of Credit,2025-04-01,2027-04-01,396800.0,0.0763,1,General Security Agreement,532000.0,Active
LN-20112,BOR-1082,Term Loan,2024-05-01,2031-05-01,1032700.0,0.0823,7,Farmland,1682800.0,Active
LN-20113,BOR-1083,Term Loan,2020-01-01,2025-01-01,1485500.0,0.0749,5,General Security Agreement,2362000.0,Paid Off
LN-20114,BOR-1084,Equipment Loan,2022-04-01,2027-04-01,262800.0,0.0614,5,Equipment,263000.0,Active
LN-20115,BOR-1085,Term Loan,2020-06-01,2030-06-01,1177700.0,0.0795,10,Farmland,2276900.0,Active
LN-20116,BOR-1085,Equipment Loan,2019-03-01,2024-03-01,792600.0,0.0649,5,Equipment,1050500.0,Paid Off
LN-20117,BOR-1086,Operating Line of Credit,2023-11-01,2026-11-01,389800.0,0.0707,1,General Security Agreement,541000.0,Active
LN-20118,BOR-1087,Equipment Loan,2023-08-01,2030-08-01,172100.0,0.0673,7,Equipment,185200.0,Active
LN-20119,BOR-1088,Term Loan,2025-02-01,2035-02-01,205500.0,0.0786,10,General Security Agreement,313400.0,Active
LN-20120,BOR-1088,Operating Line of Credit,2024-08-01,2026-08-01,491600.0,0.0834,1,General Security Agreement,665100.0,Active
LN-20121,BOR-1089,Operating Line of Credit,2025-12-01,2026-12-01,156000.0,0.0799,1,General Security Agreement,228500.0,Active
LN-20122,BOR-1089,Equipment Loan,2026-05-01,2031-05-01,202000.0,0.0642,5,Equipment,237100.0,Active
LN-20123,BOR-1090,Term Loan,2026-05-01,2033-05-01,656300.0,0.0775,7,General Security Agreement,935800.0,Active
LN-20124,BOR-1091,Term Loan,2017-07-01,2027-07-01,404900.0,0.0671,10,General Security Agreement,620300.0,Active
LN-20125,BOR-1091,Equipment Loan,2021-02-01,2028-02-01,277700.0,0.0735,7,Equipment,313600.0,Active
LN-20126,BOR-1092,Term Loan,2025-06-01,2032-06-01,869000.0,0.0739,7,Farmland,1863800.0,Active
LN-20127,BOR-1093,Equipment Loan,2025-05-01,2030-05-01,517100.0,0.077,5,Equipment,557500.0,Active
LN-20128,BOR-1093,Term Loan,2019-09-01,2024-09-01,471000.0,0.0705,5,Farmland,750500.0,Paid Off
LN-20129,BOR-1094,Operating Line of Credit,2018-02-01,2027-02-01,73900.0,0.0768,1,General Security Agreement,87800.0,Active
LN-20130,BOR-1095,Term Loan,2023-01-01,2033-01-01,101300.0,0.0745,10,Farmland,156600.0,Active
LN-20131,BOR-1096,Farm Mortgage,2023-11-01,2043-11-01,2564400.0,0.067,20,Farmland,3620900.0,Active
LN-20132,BOR-1096,Term Loan,2026-01-01,2033-01-01,683400.0,0.0824,7,Farmland,1241600.0,Active
LN-20133,BOR-1096,Operating Line of Credit,2023-10-01,2026-10-01,120100.0,0.0837,1,General Security Agreement,187100.0,Active
LN-20134,BOR-1097,Term Loan,2024-12-01,2031-12-01,911000.0,0.0732,7,General Security Agreement,1400600.0,Active
LN-20135,BOR-1098,Term Loan,2024-12-01,2031-12-01,529100.0,0.0657,7,Farmland,1002200.0,Active
LN-20136,BOR-1099,Term Loan,2026-04-01,2036-04-01,285300.0,0.0666,10,General Security Agreement,320500.0,Active
LN-20137,BOR-1100,Equipment Loan,2020-09-01,2027-09-01,310900.0,0.0657,7,Equipment,417400.0,Active
LN-20138,BOR-1100,Farm Mortgage,2024-04-01,2044-04-01,2240100.0,0.0621,20,Farmland,4377900.0,Active
LN-20139,BOR-1101,Term Loan,2018-11-01,2023-11-01,660300.0,0.0746,5,General Security Agreement,982400.0,Paid Off
LN-20140,BOR-1101,Operating Line of Credit,2024-01-01,2027-01-01,489900.0,0.0789,1,General Security Agreement,630400.0,Active
LN-20141,BOR-1102,Term Loan,2023-02-01,2030-02-01,221000.0,0.0736,7,Farmland,356200.0,Active
LN-20142,BOR-1103,Term Loan,2023-04-01,2028-04-01,1361700.0,0.0763,5,General Security Agreement,1899800.0,Active
LN-20143,BOR-1103,Operating Line of Credit,2023-11-01,2026-11-01,278000.0,0.073,1,General Security Agreement,367900.0,Active
LN-20144,BOR-1104,Term Loan,2021-02-01,2031-02-01,957400.0,0.0664,10,General Security Agreement,1177300.0,Active
LN-20145,BOR-1105,Operating Line of Credit,2025-01-01,2027-01-01,192400.0,0.0883,1,General Security Agreement,244700.0,Active
LN-20146,BOR-1106,Farm Mortgage,2016-12-01,2031-12-01,2288600.0,0.0652,15,Farmland,3245400.0,Active
LN-20147,BOR-1107,Term Loan,2023-08-01,2028-08-01,500300.0,0.0664,5,General Security Agreement,704700.0,Active
LN-20148,BOR-1107,Equipment Loan,2026-03-01,2031-03-01,701700.0,0.0622,5,Equipment,850400.0,Active
LN-20149,BOR-1108,Operating Line of Credit,2018-06-01,2027-06-01,465900.0,0.0809,1,General Security Agreement,609200.0,Active
LN-20150,BOR-1109,Term Loan,2023-12-01,2033-12-01,805300.0,0.0834,10,Farmland,1244400.0,Active
LN-20151,BOR-1109,Farm Mortgage,2025-02-01,2045-02-01,2044700.0,0.0635,20,Farmland,3963600.0,Active
LN-20152,BOR-1109,Operating Line of Credit,2022-07-01,2026-07-01,339800.0,0.0779,1,General Security Agreement,374500.0,Active
LN-20153,BOR-1110,Term Loan,2017-04-01,2024-04-01,205000.0,0.0736,7,General Security Agreement,292700.0,Paid Off
LN-20154,BOR-1111,Farm Mortgage,2022-11-01,2037-11-01,2765600.0,0.0638,15,Farmland,5755800.0,Active
LN-20155,BOR-1112,Equipment Loan,2021-01-01,2028-01-01,152600.0,0.0737,7,Equipment,153600.0,Active
LN-20156,BOR-1113,Farm Mortgage,2026-05-01,2046-05-01,1084300.0,0.0577,20,Farmland,1877200.0,Active
LN-20157,BOR-1114,Equipment Loan,2020-04-01,2025-04-01,206500.0,0.0609,5,Equipment,273800.0,Paid Off
LN-20158,BOR-1114,Operating Line of Credit,2021-08-01,2026-08-01,378400.0,0.0782,1,General Security Agreement,528800.0,Active
LN-20159,BOR-1115,Operating Line of Credit,2026-01-01,2027-01-01,282900.0,0.0836,1,General Security Agreement,444200.0,Active
LN-20160,BOR-1116,Term Loan,2026-05-01,2033-05-01,430900.0,0.075,7,General Security Agreement,593000.0,Active
LN-20161,BOR-1117,Term Loan,2020-06-01,2025-06-01,1085600.0,0.0732,5,General Security Agreement,1418900.0,Paid Off
LN-20162,BOR-1117,Operating Line of Credit,2018-04-01,2027-04-01,404100.0,0.0882,1,General Security Agreement,564400.0,Active
LN-20163,BOR-1118,Operating Line of Credit,2025-10-01,2026-10-01,383100.0,0.0766,1,General Security Agreement,435500.0,Active
LN-20164,BOR-1119,Term Loan,2023-08-01,2033-08-01,318400.0,0.0826,10,Farmland,492700.0,Active
LN-20165,BOR-1120,Term Loan,2023-01-01,2028-01-01,522000.0,0.0678,5,Farmland,1042900.0,Active
LN-20166,BOR-1121,Equipment Loan,2026-04-01,2031-04-01,654200.0,0.0625,5,Equipment,902700.0,Active
LN-20167,BOR-1122,Operating Line of Credit,2020-02-01,2027-02-01,60500.0,0.0756,1,General Security Agreement,81800.0,Active
LN-20168,BOR-1123,Term Loan,2025-01-01,2032-01-01,1027100.0,0.0673,7,Farmland,1744300.0,Active
LN-20169,BOR-1123,Equipment Loan,2025-07-01,2030-07-01,526500.0,0.0687,5,Equipment,673100.0,Active
LN-20170,BOR-1124,Operating Line of Credit,2018-12-01,2026-12-01,299500.0,0.0744,1,General Security Agreement,431300.0,Active
LN-20171,BOR-1125,Term Loan,2024-06-01,2034-06-01,309600.0,0.0769,10,Farmland,642100.0,Active
LN-20172,BOR-1126,Term Loan,2023-10-01,2030-10-01,651400.0,0.085,7,Farmland,1011300.0,Active
LN-20173,BOR-1126,Operating Line of Credit,2025-02-01,2027-02-01,248900.0,0.0754,1,General Security Agreement,333600.0,Active
LN-20174,BOR-1127,Operating Line of Credit,2024-08-01,2026-08-01,450000.0,0.0858,1,General Security Agreement,607200.0,Active
LN-20175,BOR-1128,Term Loan,2025-08-01,2035-08-01,1329700.0,0.0792,10,Farmland,1874200.0,Active
LN-20176,BOR-1129,Term Loan,2025-02-01,2035-02-01,642400.0,0.0838,10,Farmland,1306300.0,Active
LN-20177,BOR-1129,Operating Line of Credit,2022-04-01,2027-04-01,387000.0,0.0834,1,General Security Agreement,504600.0,Active
LN-20178,BOR-1130,Term Loan,2023-01-01,2033-01-01,486100.0,0.0826,10,Farmland,781300.0,Active
LN-20179,BOR-1131,Operating Line of Credit,2025-07-01,2026-07-01,372500.0,0.0757,1,General Security Agreement,527000.0,Active
LN-20180,BOR-1132,Term Loan,2026-03-01,2036-03-01,315200.0,0.0723,10,General Security Agreement,446300.0,Active
LN-20181,BOR-1132,Operating Line of Credit,2025-03-01,2027-03-01,134500.0,0.0872,1,General Security Agreement,188000.0,Active
LN-20182,BOR-1133,Operating Line of Credit,2018-12-01,2026-12-01,345000.0,0.0838,1,General Security Agreement,418800.0,Active
LN-20183,BOR-1133,Equipment Loan,2026-04-01,2033-04-01,606400.0,0.0648,7,Equipment,661700.0,Active
LN-20184,BOR-1133,Term Loan,2020-06-01,2027-06-01,431400.0,0.0822,7,Farmland,838300.0,Active
LN-20185,BOR-1134,Term Loan,2024-02-01,2031-02-01,780900.0,0.0699,7,Farmland,1021700.0,Active
LN-20186,BOR-1135,Term Loan,2022-09-01,2029-09-01,143600.0,0.0774,7,General Security Agreement,180700.0,Active
LN-20187,BOR-1136,Operating Line of Credit,2020-11-01,2026-11-01,143700.0,0.0862,1,General Security Agreement,223700.0,Active
LN-20188,BOR-1136,Term Loan,2022-05-01,2029-05-01,1374900.0,0.0695,7,General Security Agreement,1723600.0,Active
LN-20189,BOR-1137,Operating Line of Credit,2018-02-01,2027-02-01,135300.0,0.0884,1,General Security Agreement,155800.0,Active
LN-20190,BOR-1138,Equipment Loan,2025-08-01,2032-08-01,577800.0,0.0671,7,Equipment,629500.0,Active
LN-20191,BOR-1139,Operating Line of Credit,2020-07-01,2026-07-01,208900.0,0.0823,1,General Security Agreement,299000.0,Active
LN-20192,BOR-1140,Term Loan,2024-12-01,2029-12-01,1183600.0,0.078,5,General Security Agreement,1540400.0,Active
LN-20193,BOR-1140,Operating Line of Credit,2018-03-01,2027-03-01,155700.0,0.0806,1,General Security Agreement,227800.0,Active
LN-20194,BOR-1141,Term Loan,2021-05-01,2026-05-01,809200.0,0.0747,5,General Security Agreement,1067100.0,Paid Off
LN-20195,BOR-1142,Equipment Loan,2024-03-01,2031-03-01,526300.0,0.0722,7,Equipment,594100.0,Active
LN-20196,BOR-1142,Operating Line of Credit,2022-12-01,2026-12-01,316400.0,0.0705,1,General Security Agreement,482800.0,Active
LN-20197,BOR-1143,Operating Line of Credit,2022-07-01,2026-07-01,326700.0,0.074,1,General Security Agreement,505700.0,Active
LN-20198,BOR-1144,Equipment Loan,2017-12-01,2022-12-01,622200.0,0.0648,5,Equipment,700900.0,Paid Off
LN-20199,BOR-1145,Term Loan,2025-01-01,2035-01-01,1498400.0,0.0696,10,General Security Agreement,2382600.0,Active
LN-20200,BOR-1146,Operating Line of Credit,2025-08-01,2026-08-01,301400.0,0.0724,1,General Security Agreement,454600.0,Active
LN-20201,BOR-1147,Operating Line of Credit,2023-01-01,2027-01-01,297300.0,0.0821,1,General Security Agreement,352100.0,Active
LN-20202,BOR-1148,Term Loan,2025-10-01,2030-10-01,302900.0,0.0834,5,General Security Agreement,427600.0,Active
LN-20203,BOR-1149,Term Loan,2019-11-01,2026-11-01,804400.0,0.0709,7,Farmland,1411900.0,Active
LN-20204,BOR-1150,Term Loan,2021-03-01,2028-03-01,1104200.0,0.0685,7,General Security Agreement,1444700.0,Active
LN-20205,BOR-1150,Operating Line of Credit,2018-03-01,2027-03-01,73200.0,0.0887,1,General Security Agreement,109200.0,Active
LN-20206,BOR-1150,Equipment Loan,2024-11-01,2029-11-01,362200.0,0.0787,5,Equipment,421900.0,Active
LN-20207,BOR-1151,Term Loan,2025-08-01,2030-08-01,877900.0,0.0788,5,General Security Agreement,1329100.0,Active
LN-20208,BOR-1151,Farm Mortgage,2020-10-01,2045-10-01,2613100.0,0.0634,25,Farmland,3450700.0,Active
LN-20209,BOR-1152,Equipment Loan,2025-10-01,2032-10-01,387900.0,0.0633,7,Equipment,467000.0,Active
LN-20210,BOR-1153,Term Loan,2017-08-01,2022-08-01,1154700.0,0.0837,5,Farmland,2126200.0,Paid Off
LN-20211,BOR-1153,Operating Line of Credit,2025-09-01,2026-09-01,395000.0,0.0711,1,General Security Agreement,534500.0,Active
LN-20212,BOR-1154,Term Loan,2016-11-01,2023-11-01,876000.0,0.0761,7,General Security Agreement,1057300.0,Paid Off
LN-20213,BOR-1154,Operating Line of Credit,2020-11-01,2026-11-01,462500.0,0.0895,1,General Security Agreement,578000.0,Active
LN-20214,BOR-1155,Term Loan,2021-06-01,2031-06-01,768900.0,0.0825,10,General Security Agreement,861100.0,Active
LN-20215,BOR-1156,Equipment Loan,2024-09-01,2029-09-01,516100.0,0.0713,5,Equipment,708000.0,Active
LN-20216,BOR-1157,Equipment Loan,2025-03-01,2030-03-01,721900.0,0.0697,5,Equipment,801800.0,Active
LN-20217,BOR-1158,Term Loan,2020-01-01,2030-01-01,404300.0,0.0663,10,Farmland,643800.0,Active
LN-20218,BOR-1158,Operating Line of Credit,2017-04-01,2027-04-01,315300.0,0.0791,1,General Security Agreement,503100.0,Active
LN-20219,BOR-1159,Term Loan,2025-09-01,2030-09-01,612900.0,0.0799,5,Farmland,979800.0,Active
LN-20220,BOR-1159,Operating Line of Credit,2026-02-01,2027-02-01,372400.0,0.0825,1,General Security Agreement,418400.0,Active
LN-20221,BOR-1159,Farm Mortgage,2025-09-01,2050-09-01,688300.0,0.0557,25,Farmland,897400.0,Active
LN-20222,BOR-1160,Operating Line of Credit,2022-06-01,2027-06-01,346100.0,0.0777,1,General Security Agreement,381300.0,Active
LN-20223,BOR-1161,Term Loan,2025-05-01,2032-05-01,131700.0,0.0756,7,Farmland,243300.0,Active
